Date,Qobs
2010-01-01,2.23
2010-01-02,2.23
2010-01-03,2.26
2010-01-04,2.26
2010-01-05,2.26
2010-01-06,2.25
2010-01-07,2.25
2010-01-08,2.24
2010-01-09,2.24
2010-01-10,2.23
2010-01-11,2.23
2010-01-12,2.22
2010-01-13,2.22
2010-01-14,2.21
2010-01-15,2.21
2010-01-16,2.21
2010-01-17,2.2
2010-01-18,2.2
2010-01-19,2.19
2010-01-20,2.19
2010-01-21,2.18
2010-01-22,2.18
2010-01-23,2.17
2010-01-24,2.17
2010-01-25,2.16
2010-01-26,2.16
2010-01-27,2.15
2010-01-28,2.15
2010-01-29,2.17
2010-01-30,2.19
2010-01-31,2.22
2010-02-01,2.24
2010-02-02,2.26
2010-02-03,2.28
2010-02-04,2.27
2010-02-05,2.26
2010-02-06,2.25
2010-02-07,2.24
2010-02-08,2.23
2010-02-09,2.22
2010-02-10,2.22
2010-02-11,2.21
2010-02-12,2.2
2010-02-13,2.19
2010-02-14,2.18
2010-02-15,2.17
2010-02-16,2.15
2010-02-17,2.14
2010-02-18,2.12
2010-02-19,2.1
2010-02-20,2.08
2010-02-21,2.07
2010-02-22,2.05
2010-02-23,2.03
2010-02-24,2.01
2010-02-25,2.0
2010-02-26,1.98
2010-02-27,1.96
2010-02-28,1.97
2010-03-01,1.99
2010-03-02,2.0
2010-03-03,2.01
2010-03-04,2.02
2010-03-05,2.04
2010-03-06,2.05
2010-03-07,2.08
2010-03-08,2.11
2010-03-09,2.14
2010-03-10,2.17
2010-03-11,2.2
2010-03-12,2.22
2010-03-13,2.25
2010-03-14,2.28
2010-03-15,2.31
2010-03-16,2.34
2010-03-17,2.45
2010-03-18,2.61
2010-03-19,3.09
2010-03-20,2.61
2010-03-21,2.45
2010-03-22,2.45
2010-03-23,2.23
2010-03-24,2.34
2010-03-25,2.34
2010-03-26,2.34
2010-03-27,2.34
2010-03-28,2.34
2010-03-29,2.34
2010-03-30,2.23
2010-03-31,2.23
2010-04-01,2.23
2010-04-02,2.45
2010-04-03,2.45
2010-04-04,2.45
2010-04-05,2.45
2010-04-06,2.61
2010-04-07,2.61
2010-04-08,2.61
2010-04-09,2.45
2010-04-10,2.61
2010-04-11,2.45
2010-04-12,2.61
2010-04-13,2.77
2010-04-14,2.61
2010-04-15,2.61
2010-04-16,2.61
2010-04-17,2.77
2010-04-18,2.77
2010-04-19,2.77
2010-04-20,2.77
2010-04-21,2.93
2010-04-22,3.09
2010-04-23,3.45
2010-04-24,3.67
2010-04-25,3.89
2010-04-26,4.11
2010-04-27,4.33
2010-04-28,4.55
2010-04-29,5.63
2010-04-30,5.9
2010-05-01,6.62
2010-05-02,6.62
2010-05-03,6.26
2010-05-04,5.36
2010-05-05,5.63
2010-05-06,6.26
2010-05-07,7.34
2010-05-08,8.66
2010-05-09,7.7
2010-05-10,8.66
2010-05-11,7.7
2010-05-12,7.34
2010-05-13,6.62
2010-05-14,7.34
2010-05-15,5.36
2010-05-16,6.62
2010-05-17,5.9
2010-05-18,5.36
2010-05-19,5.09
2010-05-20,5.09
2010-05-21,5.09
2010-05-22,6.98
2010-05-23,7.7
2010-05-24,7.34
2010-05-25,6.62
2010-05-26,5.9
2010-05-27,6.98
2010-05-28,6.62
2010-05-29,6.26
2010-05-30,7.34
2010-05-31,6.98
2010-06-01,7.1
2010-06-02,7.23
2010-06-03,7.35
2010-06-04,7.48
2010-06-05,7.6
2010-06-06,7.72
2010-06-07,7.85
2010-06-08,7.97
2010-06-09,8.33
2010-06-10,8.69
2010-06-11,9.05
2010-06-12,9.41
2010-06-13,9.76
2010-06-14,10.1
2010-06-15,10.5
2010-06-16,10.8
2010-06-17,11.2
2010-06-18,11.1
2010-06-19,11.0
2010-06-20,10.9
2010-06-21,10.8
2010-06-22,10.7
2010-06-23,10.6
2010-06-24,10.5
2010-06-25,10.4
2010-06-26,10.3
2010-06-27,10.2
2010-06-28,10.1
2010-06-29,9.99
2010-06-30,9.89
2010-07-01,10.2
2010-07-02,10.5
2010-07-03,10.9
2010-07-04,11.2
2010-07-05,11.5
2010-07-06,11.4
2010-07-07,11.4
2010-07-08,11.3
2010-07-09,11.2
2010-07-10,11.1
2010-07-11,11.1
2010-07-12,11.0
2010-07-13,10.9
2010-07-14,10.8
2010-07-15,10.8
2010-07-16,10.7
2010-07-17,10.7
2010-07-18,10.7
2010-07-19,10.8
2010-07-20,10.8
2010-07-21,10.8
2010-07-22,10.8
2010-07-23,10.9
2010-07-24,10.9
2010-07-25,10.9
2010-07-26,10.9
2010-07-27,10.9
2010-07-28,11.0
2010-07-29,11.0
2010-07-30,11.0
2010-07-31,12.5
2010-08-01,14.0
2010-08-02,15.5
2010-08-03,17.0
2010-08-04,21.1
2010-08-05,21.9
2010-08-06,21.9
2010-08-07,21.1
2010-08-08,21.1
2010-08-09,19.4
2010-08-10,19.4
2010-08-11,19.4
2010-08-12,17.0
2010-08-13,17.0
2010-08-14,18.6
2010-08-15,18.6
2010-08-16,19.4
2010-08-17,19.4
2010-08-18,20.2
2010-08-19,20.2
2010-08-20,17.8
2010-08-21,18.6
2010-08-22,17.8
2010-08-23,18.6
2010-08-24,20.2
2010-08-25,17.0
2010-08-26,15.6
2010-08-27,15.6
2010-08-28,14.3
2010-08-29,13.0
2010-08-30,12.4
2010-08-31,12.4
2010-09-01,12.4
2010-09-02,13.6
2010-09-03,14.9
2010-09-04,14.9
2010-09-05,14.9
2010-09-06,14.9
2010-09-07,14.9
2010-09-08,14.3
2010-09-09,12.4
2010-09-10,9.62
2010-09-11,9.14
2010-09-12,8.66
2010-09-13,6.98
2010-09-14,6.26
2010-09-15,5.9
2010-09-16,5.63
2010-09-17,5.9
2010-09-18,5.9
2010-09-19,5.63
2010-09-20,4.82
2010-09-21,4.55
2010-09-22,4.38
2010-09-23,4.38
2010-09-24,4.21
2010-09-25,4.38
2010-09-26,4.21
2010-09-27,4.04
2010-09-28,3.87
2010-09-29,3.87
2010-09-30,3.7
2010-10-01,3.7
2010-10-02,3.68
2010-10-03,3.67
2010-10-04,3.65
2010-10-05,4.05
2010-10-06,3.85
2010-10-07,3.45
2010-10-08,3.85
2010-10-09,4.05
2010-10-10,3.65
2010-10-11,3.65
2010-10-12,3.45
2010-10-13,3.25
2010-10-14,3.09
2010-10-15,3.25
2010-10-16,3.09
2010-10-17,3.25
2010-10-18,3.25
2010-10-19,3.25
2010-10-20,3.25
2010-10-21,3.45
2010-10-22,3.45
2010-10-23,3.65
2010-10-24,3.45
2010-10-25,3.25
2010-10-26,3.25
2010-10-27,3.09
2010-10-28,3.09
2010-10-29,3.09
2010-10-30,3.09
2010-10-31,3.09
2010-11-01,2.77
2010-11-02,2.77
2010-11-03,3.25
2010-11-04,3.25
2010-11-05,3.25
2010-11-06,3.25
2010-11-07,3.25
2010-11-08,3.45
2010-11-09,3.45
2010-11-10,3.25
2010-11-11,3.25
2010-11-12,3.45
2010-11-13,3.65
2010-11-14,3.65
2010-11-15,3.65
2010-11-16,3.25
2010-11-17,3.45
2010-11-18,3.25
2010-11-19,3.09
2010-11-20,3.25
2010-11-21,2.93
2010-11-22,2.93
2010-11-23,2.93
2010-11-24,2.93
2010-11-25,2.93
2010-11-26,2.77
2010-11-27,2.77
2010-11-28,2.77
2010-11-29,2.77
2010-11-30,2.93
2010-12-01,2.77
2010-12-02,2.77
2010-12-03,2.77
2010-12-04,3.09
2010-12-05,3.09
2010-12-06,3.09
2010-12-07,3.06
