,T2,RRR,PE,Q_HBV,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Qobs,Q_DDM,Q_Total
2011-01-01,252.76757300652946,0.01049041748046875,0.0,6.385592453247639e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,6.385592453247639e-06
2011-01-02,248.84452528197323,0.004291534423828125,0.0,2.5834700403979244e-05,0.003204074096679687,0.0001,0.0,0.0,0.000192,0.0,0.0,2.5834700403979244e-05
2011-01-03,248.9911249281122,0.0,0.0,4.240983440591826e-05,0.003204074096679687,0.0001,0.0,0.0,0.00018432,0.0,0.0,4.240983440591826e-05
2011-01-04,253.45251793099283,0.032901763916015625,0.0,3.6443274058032395e-05,0.026235308837890624,0.0001,0.0,0.0,0.00017694719999999999,0.0,0.0,3.6443274058032395e-05
2011-01-05,252.38901074202178,0.20456314086914062,0.0,1.7071694924312315e-05,0.16942950744628907,0.0001,0.0,0.0,0.00016986931199999998,0.0,0.0,1.7071694924312315e-05
2011-01-06,248.13036471639103,0.0209808349609375,0.0,3.4427875267139083e-06,0.18411609191894532,0.0001,0.0,0.0,0.00016307453952,0.0,0.0,3.4427875267139083e-06
2011-01-07,249.27697183121913,0.0,0.0,7.867422074495313e-07,0.18411609191894532,0.0001,0.0,0.0,0.0001565515579392,0.0,0.0,7.867422074495313e-07
2011-01-08,247.8124297194163,0.005245208740234375,0.0,3.966877797899796e-06,0.18778773803710938,0.0001,0.0,0.0,0.000150289495621632,0.0,0.0,3.966877797899796e-06
2011-01-09,247.61488564120225,0.0,0.0,7.004697405733087e-06,0.18778773803710938,0.0001,0.0,0.0,0.0001442779157967667,0.0,0.0,7.004697405733087e-06
2011-01-10,252.12146477029546,0.0,0.0,7.673409845211189e-06,0.18778773803710938,0.0001,0.0,0.0,0.00013850679916489603,0.0,0.0,7.673409845211189e-06
2011-01-11,253.4638834098062,0.0,0.0,6.760968083834656e-06,0.18778773803710938,0.0001,0.0,0.0,0.0001329665271983002,0.0,0.0,6.760968083834656e-06
2011-01-12,251.91326460267112,0.0,0.0,5.691756277012954e-06,0.18778773803710938,0.0001,0.0,0.0,0.00012764786611036818,0.0,0.0,5.691756277012954e-06
2011-01-13,251.51157572724603,0.01430511474609375,0.0,5.146040976917475e-06,0.197801318359375,0.0001,0.0,0.0,0.00012254195146595346,0.0,0.0,5.146040976917475e-06
2011-01-14,252.76224020227167,0.0,0.0,5.034244461861195e-06,0.197801318359375,0.0001,0.0,0.0,0.00011764027340731532,0.0,0.0,5.034244461861195e-06
2011-01-15,254.9645554732482,0.0,0.0,5.024325077460896e-06,0.197801318359375,0.0001,0.0,0.0,0.00011293466247102271,0.0,0.0,5.024325077460896e-06
2011-01-16,255.4447971680404,0.0,0.0,4.919737938244279e-06,0.197801318359375,0.0001,0.0,0.0,0.00010841727597218181,0.0,0.0,4.919737938244279e-06
2011-01-17,255.7377337211045,0.0,0.0,4.714458864737204e-06,0.197801318359375,0.0001,0.0,0.0,0.00010408058493329454,0.0,0.0,4.714458864737204e-06
2011-01-18,255.43983866891475,0.7567405700683594,0.0,4.481819815191023e-06,0.7275197174072265,0.0001,0.0,0.0,9.991736153596276e-05,0.0,0.0,4.481819815191023e-06
2011-01-19,252.1214970508294,0.22172927856445312,0.0,4.275159033088936e-06,0.8827302124023437,0.0001,0.0,0.0,9.592066707452424e-05,0.0,0.0,4.275159033088936e-06
2011-01-20,250.06491263002556,0.01049041748046875,0.0,4.10247357625652e-06,0.8900735046386719,0.0001,0.0,0.0,9.208384039154327e-05,0.0,0.0,4.10247357625652e-06
2011-01-21,250.06187280355792,0.012874603271484375,0.0,3.94803926393564e-06,0.8990857269287109,0.0001,0.0,0.0,8.840048677588153e-05,0.0,0.0,3.94803926393564e-06
2011-01-22,253.1485709768102,0.0133514404296875,0.0,3.7975263188434894e-06,0.9084317352294922,0.0001,0.0,0.0,8.486446730484627e-05,0.0,0.0,3.7975263188434894e-06
2011-01-23,254.85663240758754,0.1125335693359375,0.0,3.646971312792281e-06,0.9872052337646484,0.0001,0.0,0.0,8.146988861265242e-05,0.0,0.0,3.646971312792281e-06
2011-01-24,254.19470981814877,0.16927719116210938,0.0,3.4991004681761076e-06,1.105699267578125,0.0001,0.0,0.0,7.821109306814632e-05,0.0,0.0,3.4991004681761076e-06
2011-01-25,252.8741608065893,0.7562637329101562,0.0,3.357213798292244e-06,1.6350838806152344,0.0001,0.0,0.0,7.508264934542046e-05,0.0,0.0,3.357213798292244e-06
2011-01-26,250.38040930589082,0.3361701965332031,0.0,3.222371715365516e-06,1.8704030181884765,0.0001,0.0,0.0,7.207934337160364e-05,0.0,0.0,3.222371715365516e-06
2011-01-27,250.3115437451173,0.006198883056640625,0.0,3.093851294085437e-06,1.874742236328125,0.0001,0.0,0.0,6.919616963673949e-05,0.0,0.0,3.093851294085437e-06
2011-01-28,252.7086177720662,0.0,0.0,2.9705775537499145e-06,1.874742236328125,0.0001,0.0,0.0,6.642832285126991e-05,0.0,0.0,2.9705775537499145e-06
2011-01-29,253.96514074591346,0.0,0.0,2.8519414733512474e-06,1.874742236328125,0.0001,0.0,0.0,6.377118993721912e-05,0.0,0.0,2.8519414733512474e-06
2011-01-30,255.04284695035042,0.0,0.0,2.7378042833834754e-06,1.874742236328125,0.0001,0.0,0.0,6.122034233973036e-05,0.0,0.0,2.7378042833834754e-06
2011-01-31,258.65779628465594,0.0,0.0,2.628176572254949e-06,1.874742236328125,0.0001,0.0,0.0,5.877152864614115e-05,0.0,0.0,2.628176572254949e-06
2011-02-01,258.957635524306,0.030517578125,0.0,2.522992436281506e-06,1.896104541015625,0.0001,0.0,0.0,5.64206675002955e-05,0.0,0.0,2.522992436281506e-06
2011-02-02,257.29598447160413,0.006198883056640625,0.0,2.4220786260857496e-06,1.9004437591552734,0.0001,0.0,0.0,5.416384080028368e-05,0.0,0.0,2.4220786260857496e-06
2011-02-03,262.3744178307886,0.415802001953125,0.0,2.3252221709444514e-06,2.191505160522461,0.0001,0.0,0.0,5.199728716827233e-05,0.0,0.0,2.3252221709444514e-06
2011-02-04,261.7305646698629,1.1935234069824219,0.0,2.232229579777332e-06,3.0269715454101562,0.0001,0.0,0.0,4.991739568154144e-05,0.0,0.0,2.232229579777332e-06
2011-02-05,261.4624838173509,2.41851806640625,0.0,2.1429412080481062e-06,4.719934191894531,0.0001,0.0,0.0,4.792069985427978e-05,0.0,0.0,2.1429412080481062e-06
2011-02-06,261.1888202385641,2.0008087158203125,0.0,2.0572176784270147e-06,6.1205002929687495,0.0001,0.0,0.0,4.600387186010859e-05,0.0,0.0,2.0572176784270147e-06
2011-02-07,259.9339162926674,1.2001991271972656,0.0,1.9749245460760257e-06,6.9606396820068355,0.0001,0.0,0.0,4.4163716985704244e-05,0.0,0.0,1.9749245460760257e-06
