,T2,RRR,PE,Q_HBV,Qobs,Q_DDM,Q_Total
2011-01-01,252.76757300652946,0.01049041748046875,0.0,6.385592453247639e-06,0.0,0.0,6.385592453247639e-06
2011-01-02,248.84452528197323,0.004291534423828125,0.0,2.5834700403979244e-05,0.0,0.0,2.5834700403979244e-05
2011-01-03,248.9911249281122,0.0,0.0,4.240983440591826e-05,0.0,0.0,4.240983440591826e-05
2011-01-04,253.45251793099283,0.032901763916015625,0.0,3.6443274058032395e-05,0.0,0.0,3.6443274058032395e-05
2011-01-05,252.38901074202178,0.20456314086914062,0.0,1.7071694924312315e-05,0.0,0.0,1.7071694924312315e-05
2011-01-06,248.13036471639103,0.0209808349609375,0.0,3.4427875267139083e-06,0.0,0.0,3.4427875267139083e-06
2011-01-07,249.27697183121913,0.0,0.0,7.867422074495313e-07,0.0,0.0,7.867422074495313e-07
2011-01-08,247.8124297194163,0.005245208740234375,0.0,3.966877797899796e-06,0.0,0.0,3.966877797899796e-06
2011-01-09,247.61488564120225,0.0,0.0,7.004697405733087e-06,0.0,0.0,7.004697405733087e-06
2011-01-10,252.12146477029546,0.0,0.0,7.673409845211189e-06,0.0,0.0,7.673409845211189e-06
2011-01-11,253.4638834098062,0.0,0.0,6.760968083834656e-06,0.0,0.0,6.760968083834656e-06
2011-01-12,251.91326460267112,0.0,0.0,5.691756277012954e-06,0.0,0.0,5.691756277012954e-06
2011-01-13,251.51157572724603,0.01430511474609375,0.0,5.146040976917475e-06,0.0,0.0,5.146040976917475e-06
2011-01-14,252.76224020227167,0.0,0.0,5.034244461861195e-06,0.0,0.0,5.034244461861195e-06
2011-01-15,254.9645554732482,0.0,0.0,5.024325077460896e-06,0.0,0.0,5.024325077460896e-06
2011-01-16,255.4447971680404,0.0,0.0,4.919737938244279e-06,0.0,0.0,4.919737938244279e-06
2011-01-17,255.7377337211045,0.0,0.0,4.714458864737204e-06,0.0,0.0,4.714458864737204e-06
2011-01-18,255.43983866891475,0.7567405700683594,0.0,4.481819815191023e-06,0.0,0.0,4.481819815191023e-06
2011-01-19,252.1214970508294,0.22172927856445312,0.0,4.275159033088936e-06,0.0,0.0,4.275159033088936e-06
2011-01-20,250.06491263002556,0.01049041748046875,0.0,4.10247357625652e-06,0.0,0.0,4.10247357625652e-06
2011-01-21,250.06187280355792,0.012874603271484375,0.0,3.94803926393564e-06,0.0,0.0,3.94803926393564e-06
2011-01-22,253.1485709768102,0.0133514404296875,0.0,3.7975263188434894e-06,0.0,0.0,3.7975263188434894e-06
2011-01-23,254.85663240758754,0.1125335693359375,0.0,3.646971312792281e-06,0.0,0.0,3.646971312792281e-06
2011-01-24,254.19470981814877,0.16927719116210938,0.0,3.4991004681761076e-06,0.0,0.0,3.4991004681761076e-06
2011-01-25,252.8741608065893,0.7562637329101562,0.0,3.357213798292244e-06,0.0,0.0,3.357213798292244e-06
2011-01-26,250.38040930589082,0.3361701965332031,0.0,3.222371715365516e-06,0.0,0.0,3.222371715365516e-06
2011-01-27,250.3115437451173,0.006198883056640625,0.0,3.093851294085437e-06,0.0,0.0,3.093851294085437e-06
2011-01-28,252.7086177720662,0.0,0.0,2.9705775537499145e-06,0.0,0.0,2.9705775537499145e-06
2011-01-29,253.96514074591346,0.0,0.0,2.8519414733512474e-06,0.0,0.0,2.8519414733512474e-06
2011-01-30,255.04284695035042,0.0,0.0,2.7378042833834754e-06,0.0,0.0,2.7378042833834754e-06
2011-01-31,258.65779628465594,0.0,0.0,2.628176572254949e-06,0.0,0.0,2.628176572254949e-06
2011-02-01,258.957635524306,0.030517578125,0.0,2.522992436281506e-06,0.0,0.0,2.522992436281506e-06
2011-02-02,257.29598447160413,0.006198883056640625,0.0,2.4220786260857496e-06,0.0,0.0,2.4220786260857496e-06
2011-02-03,262.3744178307886,0.415802001953125,0.0,2.3252221709444514e-06,0.0,0.0,2.3252221709444514e-06
2011-02-04,261.7305646698629,1.1935234069824219,0.0,2.232229579777332e-06,0.0,0.0,2.232229579777332e-06
2011-02-05,261.4624838173509,2.41851806640625,0.0,2.1429412080481062e-06,0.0,0.0,2.1429412080481062e-06
2011-02-06,261.1888202385641,2.0008087158203125,0.0,2.0572176784270147e-06,0.0,0.0,2.0572176784270147e-06
2011-02-07,259.9339162926674,1.2001991271972656,0.0,1.9749245460760257e-06,0.0,0.0,1.9749245460760257e-06
2011-02-08,261.4667101292985,4.090309143066406,0.0,1.8959268031846124e-06,0.0,0.0,1.8959268031846124e-06
2011-02-09,257.7040991096738,0.02765655517578125,0.0,1.82009095085919e-06,0.0,0.0,1.82009095085919e-06
2011-02-10,260.0000388831317,1.1644363403320312,0.0,1.7472884651570522e-06,0.0,0.0,1.7472884651570522e-06
2011-02-11,257.001720983697,0.087738037109375,0.0,1.6773972480552553e-06,0.0,0.0,1.6773972480552553e-06
2011-02-12,258.360552682465,0.0,0.0,1.610301126555717e-06,0.0,0.0,1.610301126555717e-06
2011-02-13,260.5244606374499,0.25653839111328125,0.0,1.5458887926849616e-06,0.0,0.0,1.5458887926849616e-06
2011-02-14,260.49331252111466,0.19598007202148438,0.0,1.4840531310642854e-06,0.0,0.0,1.4840531310642854e-06
2011-02-15,256.7520442660462,0.11658668518066406,0.0,1.4246910433911565e-06,0.0,0.0,1.4246910433911565e-06
2011-02-16,257.70420025923397,0.0019073486328125,0.0,1.3677034713610159e-06,0.0,0.0,1.3677034713610159e-06
2011-02-17,258.3974734693046,0.003337860107421875,0.0,1.3129953662844397e-06,0.0,0.0,1.3129953662844397e-06
2011-02-18,257.91785438981384,0.000476837158203125,0.0,1.2604755476245339e-06,0.0,0.0,1.2604755476245339e-06
2011-02-19,258.2643491694428,0.0,0.0,1.2100565095576943e-06,0.0,0.0,1.2100565095576943e-06
2011-02-20,258.8643772503149,0.6232261657714844,0.0,1.161654239483167e-06,0.0,0.0,1.161654239483167e-06
2011-02-21,258.6269695516236,1.7638206481933594,0.0,1.1151880695349315e-06,0.0,0.0,1.1151880695349315e-06
2011-02-22,260.15411635434793,0.03910064697265625,0.0,1.070580550330932e-06,0.0,0.0,1.070580550330932e-06
2011-02-23,258.6689447680637,0.0057220458984375,0.0,1.0277573309600751e-06,0.0,0.0,1.0277573309600751e-06
2011-02-24,259.20703198257024,2.8657913208007812,0.0,9.866470381501687e-07,0.0,0.0,9.866470381501687e-07
2011-02-25,255.34185414898738,0.08821487426757812,0.0,9.471811558776929e-07,0.0,0.0,9.471811558776929e-07
2011-02-26,255.1279952900501,0.040531158447265625,0.0,9.092939089521369e-07,0.0,0.0,9.092939089521369e-07
2011-02-27,255.46897111195332,0.12350082397460938,0.0,8.729221524075841e-07,0.0,0.0,8.729221524075841e-07
2011-02-28,255.07534385385506,0.1049041748046875,0.0,8.380052664543418e-07,0.0,0.0,8.380052664543418e-07
2011-03-01,256.4131683604407,0.0,0.0,8.044850559697784e-07,0.0,0.0,8.044850559697784e-07
2011-03-02,257.5102172062239,0.09059906005859375,0.0,7.723056537955342e-07,0.0,0.0,7.723056537955342e-07
2011-03-03,258.71068815848554,1.2793540954589844,0.0,7.414134276200648e-07,0.0,0.0,7.414134276200648e-07
2011-03-04,256.7634153894499,0.030040740966796875,0.0,7.11756890473221e-07,0.0,0.0,7.11756890473221e-07
