,T2,RRR,PE,Q_HBV,Qobs,Q_DDM,Q_Total
2011-01-01,243.1344061253668,0.01049041748046875,0.0,6.385592453247639e-06,,0.0,6.385592453247639e-06
2011-01-02,238.38933259495784,0.004291534423828125,0.0,2.5834700403979244e-05,,0.0,2.5834700403979244e-05
2011-01-03,239.2543266440301,0.0,0.0,4.240983440591826e-05,,0.0,4.240983440591826e-05
2011-01-04,244.8775578960646,0.032901763916015625,0.0,3.6443274058032395e-05,,0.0,3.6443274058032395e-05
2011-01-05,243.37789486098973,0.20456314086914062,0.0,1.7071694924312315e-05,,0.0,1.7071694924312315e-05
2011-01-06,239.2674727265903,0.0209808349609375,0.0,3.4427875267139083e-06,,0.0,3.4427875267139083e-06
2011-01-07,239.00060540684748,0.0,0.0,7.867422074495313e-07,,0.0,7.867422074495313e-07
2011-01-08,236.95140089838392,0.005245208740234375,0.0,3.966877797899796e-06,,0.0,3.966877797899796e-06
2011-01-09,237.97372323521662,0.0,0.0,7.004697405733087e-06,,0.0,7.004697405733087e-06
2011-01-10,243.0030436341831,0.0,0.0,7.673409845211189e-06,,0.0,7.673409845211189e-06
2011-01-11,244.89437181004573,0.0,0.0,6.760968083834656e-06,,0.0,6.760968083834656e-06
2011-01-12,242.70852802444188,0.0,0.0,5.691756277012954e-06,,0.0,5.691756277012954e-06
2011-01-13,242.13961551833836,0.01430511474609375,0.0,5.146040976917475e-06,,0.0,5.146040976917475e-06
2011-01-14,243.90598438430516,0.0,0.0,5.034244461861195e-06,,0.0,5.034244461861195e-06
2011-01-15,247.02184691278822,0.0,0.0,5.024325077460896e-06,,0.0,5.024325077460896e-06
2011-01-16,247.69708329686213,0.0,0.0,4.919737938244279e-06,,0.0,4.919737938244279e-06
2011-01-17,248.11209819961277,0.0,0.0,4.714458864737204e-06,,0.0,4.714458864737204e-06
2011-01-18,247.68744419265477,0.7567405700683594,0.0,4.481819815191023e-06,,0.0,4.481819815191023e-06
2011-01-19,242.9982631827264,0.22172927856445312,0.0,4.275159033088936e-06,,0.0,4.275159033088936e-06
2011-01-20,240.7755547985304,0.01049041748046875,0.0,4.10247357625652e-06,,0.0,4.10247357625652e-06
2011-01-21,241.41314711420424,0.012874603271484375,0.0,3.94803926393564e-06,,0.0,3.94803926393564e-06
2011-01-22,244.46071130284358,0.0133514404296875,0.0,3.7975263188434894e-06,,0.0,3.7975263188434894e-06
2011-01-23,246.86432725438166,0.1125335693359375,0.0,3.646971312792281e-06,,0.0,3.646971312792281e-06
2011-01-24,245.92675541091648,0.16927719116210938,0.0,3.4991004681761076e-06,,0.0,3.4991004681761076e-06
2011-01-25,244.05669671544123,0.7562637329101562,0.0,3.357213798292244e-06,,0.0,3.357213798292244e-06
2011-01-26,240.5463754162062,0.3361701965332031,0.0,3.222371715365516e-06,,0.0,3.222371715365516e-06
2011-01-27,240.45871303725926,0.006198883056640625,0.0,3.093851294085437e-06,,0.0,3.093851294085437e-06
2011-01-28,243.8328057750929,0.0,0.0,2.9705775537499145e-06,,0.0,2.9705775537499145e-06
2011-01-29,245.60331549494154,0.0,0.0,2.8519414733512474e-06,,0.0,2.8519414733512474e-06
2011-01-30,247.137539687243,0.0,0.0,2.7378042833834754e-06,,0.0,2.7378042833834754e-06
2011-01-31,252.26761959243504,0.0,0.0,2.628176572254949e-06,,0.0,2.628176572254949e-06
2011-02-01,252.69063010065443,0.030517578125,0.0,2.522992436281506e-06,,0.0,2.522992436281506e-06
2011-02-02,250.35574863601414,0.006198883056640625,0.0,2.4220786260857496e-06,,0.0,2.4220786260857496e-06
2011-02-03,257.5824719890822,0.415802001953125,0.0,2.3252221709444514e-06,,0.0,2.3252221709444514e-06
2011-02-04,256.6543917481968,1.1935234069824219,0.0,2.232229579777332e-06,,0.0,2.232229579777332e-06
2011-02-05,256.2736099387078,2.41851806640625,0.0,2.1429412080481062e-06,,0.0,2.1429412080481062e-06
2011-02-06,255.87620876479832,2.0008087158203125,0.0,2.0572176784270147e-06,,0.0,2.0572176784270147e-06
2011-02-07,254.091983936714,1.2001991271972656,0.0,1.9749245460760257e-06,,0.0,1.9749245460760257e-06
2011-02-08,256.2730491782098,4.090309143066406,0.0,1.8959268031846124e-06,,0.0,1.8959268031846124e-06
2011-02-09,250.90943541376478,0.02765655517578125,0.0,1.82009095085919e-06,,0.0,1.82009095085919e-06
2011-02-10,254.17493834345228,1.1644363403320312,0.0,1.7472884651570522e-06,,0.0,1.7472884651570522e-06
2011-02-11,249.9036129141717,0.087738037109375,0.0,1.6773972480552553e-06,,0.0,1.6773972480552553e-06
2011-02-12,251.83612011123387,0.0,0.0,1.610301126555717e-06,,0.0,1.610301126555717e-06
2011-02-13,254.92778728652684,0.25653839111328125,0.0,1.5458887926849616e-06,,0.0,1.5458887926849616e-06
2011-02-14,254.88277640192396,0.19598007202148438,0.0,1.4840531310642854e-06,,0.0,1.4840531310642854e-06
2011-02-15,249.55156022557307,0.11658668518066406,0.0,1.4246910433911565e-06,,0.0,1.4246910433911565e-06
2011-02-16,250.90998091547377,0.0019073486328125,0.0,1.3677034713610159e-06,,0.0,1.3677034713610159e-06
2011-02-17,251.89278934646336,0.003337860107421875,0.0,1.3129953662844397e-06,,0.0,1.3129953662844397e-06
2011-02-18,251.2093901460239,0.000476837158203125,0.0,1.2604755476245339e-06,,0.0,1.2604755476245339e-06
2011-02-19,251.7043992504347,0.0,0.0,1.2100565095576943e-06,,0.0,1.2100565095576943e-06
2011-02-20,252.55839679885594,0.6232261657714844,0.0,1.161654239483167e-06,,0.0,1.161654239483167e-06
2011-02-21,252.21644415705092,1.7638206481933594,0.0,1.1151880695349315e-06,,0.0,1.1151880695349315e-06
2011-02-22,254.39925144363133,0.03910064697265625,0.0,1.070580550330932e-06,,0.0,1.070580550330932e-06
2011-02-23,252.28704466669447,0.0057220458984375,0.0,1.0277573309600751e-06,,0.0,1.0277573309600751e-06
2011-02-24,253.04385072239924,2.8657913208007812,0.0,9.866470381501687e-07,,0.0,9.866470381501687e-07
2011-02-25,247.55597128717787,0.08821487426757812,0.0,9.471811558776929e-07,,0.0,9.471811558776929e-07
2011-02-26,247.24580270299006,0.040531158447265625,0.0,9.092939089521369e-07,,0.0,9.092939089521369e-07
2011-02-27,247.73071239639012,0.12350082397460938,0.0,8.729221524075841e-07,,0.0,8.729221524075841e-07
2011-02-28,247.17334189264662,0.1049041748046875,0.0,8.380052664543418e-07,,0.0,8.380052664543418e-07
2011-03-01,249.0747014507521,0.0,0.0,8.044850559697784e-07,,0.0,8.044850559697784e-07
2011-03-02,250.627166253812,0.09059906005859375,0.0,7.723056537955342e-07,,0.0,7.723056537955342e-07
2011-03-03,252.33959847935725,1.2793540954589844,0.0,7.414134276200648e-07,,0.0,7.414134276200648e-07
2011-03-04,249.57977817702977,0.030040740966796875,0.0,7.11756890473221e-07,,0.0,7.11756890473221e-07
2011-03-05,251.77511928725926,0.5741119384765625,0.0,6.832866148343112e-07,,0.0,6.832866148343112e-07
2011-03-06,250.36340473342625,0.4372596740722656,0.0,6.559551502436294e-07,,0.0,6.559551502436294e-07
2011-03-07,252.63330600906102,0.048160552978515625,0.0,6.297169442436677e-07,,0.0,6.297169442436677e-07
2011-03-08,252.5929376110304,0.07104873657226562,0.0,6.045282664796835e-07,,0.0,6.045282664796835e-07
2011-03-09,254.66352985549656,0.25844573974609375,0.0,5.803471358206464e-07,,0.0,5.803471358206464e-07
2011-03-10,253.74046021946955,0.00667572021484375,0.0,5.571332503856454e-07,,0.0,5.571332503856454e-07
2011-03-11,257.7143740480015,0.011920928955078125,0.0,5.348479203686423e-07,,0.0,5.348479203686423e-07
2011-03-12,251.33254256098158,1.09100341796875,0.0,5.134540035536566e-07,,0.0,5.134540035536566e-07
2011-03-13,246.77722118545262,0.05435943603515625,0.0,4.929158434119668e-07,,0.0,4.929158434119668e-07
2011-03-14,251.7514141226678,0.0,0.0,4.7319920967590166e-07,,0.0,4.7319920967590166e-07
2011-03-15,258.6607368613153,0.0591278076171875,0.0,4.5427124128897355e-07,,0.0,4.5427124128897355e-07
2011-03-16,253.81391157953632,3.1518936157226562,0.0,4.361003916373263e-07,,0.0,4.361003916373263e-07
2011-03-17,249.1628610119093,0.0152587890625,0.0,4.1865637597172895e-07,,0.0,4.1865637597172895e-07
2011-03-18,250.93311006077815,0.12493133544921875,0.0,4.0191012093282197e-07,,0.0,4.0191012093282197e-07
2011-03-19,249.57800879328138,0.37670135498046875,0.0,3.858337160955239e-07,,0.0,3.858337160955239e-07
2011-03-20,246.05491143712092,0.20742416381835938,0.0,3.7040036745172827e-07,,0.0,3.7040036745172827e-07
2011-03-21,246.79231721409846,0.0,0.0,3.5558435275367093e-07,,0.0,3.5558435275367093e-07
2011-03-22,248.98535615452815,0.0,0.0,3.413609786435223e-07,,0.0,3.413609786435223e-07
2011-03-23,250.07955946771986,0.0,0.0,3.277065394977755e-07,,0.0,3.277065394977755e-07
2011-03-24,253.03052280593602,0.0,0.0,3.1459827791786107e-07,,0.0,3.1459827791786107e-07
2011-03-25,256.7138501629103,0.0,0.0,3.0201434680114656e-07,,0.0,3.0201434680114656e-07
2011-03-26,261.9952044313023,0.0,0.0,2.89933772929102e-07,,0.0,2.89933772929102e-07
2011-03-27,262.3266380453973,0.0,0.0,2.7833642201193886e-07,,0.03981812744141575,0.03981840577783777
2011-03-28,262.53011908380876,0.044345855712890625,0.0,2.6720296513146144e-07,,0.09444869384766662,0.09444896105063175
2011-03-29,262.54908067235044,0.4115104675292969,0.0,2.565148465262027e-07,,0.10309517822267526,0.1030954347375218
2011-03-30,260.9936302328973,0.12493133544921875,0.0,2.462542526651544e-07,,0.0,2.462542526651544e-07
2011-03-31,261.5048098390171,0.42819976806640625,0.0,2.364040825585482e-07,,0.0,2.364040825585482e-07
2011-04-01,262.84107285985044,0.5960464477539062,0.0,2.269479192562063e-07,,0.29406605224612703,0.29406627919404627
2011-04-02,263.88616766779313,0.00762939453125,0.0,2.1787000248595803e-07,,1.6214057739258254,1.621405991795828
2011-04-03,264.49740424005876,0.5846023559570312,0.0,2.0915520238651968e-07,,2.9751952559989707,2.975195465154173
2011-04-04,255.38781116653175,14.935493469238281,0.0,2.0078899429105885e-07,,0.0,2.0078899429105885e-07
2011-04-05,253.12850266942073,3.5033226013183594,0.0,1.9275743451941648e-07,,0.0,1.9275743451941648e-07
2011-04-06,253.70610442011244,0.13971328735351562,0.0,1.8504713713863983e-07,,0.0,1.8504713713863983e-07
2011-04-07,254.05569408584324,0.003337860107421875,0.0,1.7764525165309426e-07,,0.0,1.7764525165309426e-07
2011-04-08,256.4397851452101,0.0,0.0,1.7053944158697051e-07,,0.0,1.7053944158697051e-07
2011-04-09,259.0607676332066,0.0,0.0,1.637178639234917e-07,,0.0,1.637178639234917e-07
2011-04-10,260.51346665867857,0.0,0.0,1.5716914936655203e-07,,0.0,1.5716914936655203e-07
2011-04-11,263.5880821371942,0.00858306884765625,0.0,1.5088238339188996e-07,,1.1280273559570884,1.1280275068394718
2011-04-12,265.5773806397984,1.8038749694824219,0.0,1.4484708805621435e-07,,5.669172582279195,5.669172727126283
2011-04-13,263.56021958836607,0.002384185791015625,0.0,1.3905320453396575e-07,,1.2121391448792607,1.2121392839324652
2011-04-14,266.4628888591994,0.002384185791015625,0.0,1.3349107635260714e-07,,8.85249662190767,8.852496755398747
2011-04-15,267.73113837091813,0.01811981201171875,0.0,1.2815143329850286e-07,,13.252215950214534,13.252216078365967
2011-04-16,269.0743187094598,0.0,0.10218897149985563,1.2302537596656276e-07,,18.64722921073436,18.647229333759736
2011-04-17,270.00630520034525,0.0,0.20522566217876503,1.1810436092790025e-07,,22.257166691061347,22.257166809165707
2011-04-18,268.6451906983921,0.07677078247070312,0.05474629870313978,1.1338018649078423e-07,,17.685917496744807,17.685917610124992
2011-04-19,267.01653876154313,1.8353462219238281,0.0,1.0884497903115286e-07,,12.140273490385532,12.140273599230511
