,Qobs,DDM_total_melt,DDM_smb,Q_Total,Q_COSIPY,COSIPY_smb,COSIPY_melt
2011-01-01,0.0,0.0,0.01,0.0,0.0,0.0018743948449500374,0.017059673029076423
2011-01-02,0.0,0.0,0.004,0.0,0.0,0.0018734262787539302,1.8645056143813833e-05
2011-01-03,0.0,0.0,0.0,0.0,0.0,-0.0014606196634198612,2.214069637037865e-05
2011-01-04,0.0,0.0,0.058,0.0,0.0,-0.00723210456351358,3.304039009114065e-05
2011-01-05,0.0,0.0,0.185,0.0,0.0,0.011146521181258582,4.054200299290522e-05
2011-01-06,0.0,0.0,0.016,0.0,0.0,0.005229211990663912,0.0029537759606423166
2011-01-07,0.0,0.0,0.001,0.0,0.0,0.001066446157342972,1.9903780840194765e-05
2011-01-08,0.0,0.0,0.004,0.0,0.0,0.00013999362525503637,3.136882619778539e-05
2011-01-09,0.0,0.0,0.0,0.0,0.0,-2.922161250425735e-06,2.5035295719113873e-05
2011-01-10,0.0,0.0,0.0,0.0,0.0,-5.379603948960084e-06,2.3707556753319864e-05
2011-01-11,0.0,0.0,0.0,0.0,0.0,-2.7674517074258535e-05,2.602202517356089e-05
2011-01-12,0.0,0.0,0.001,0.0,0.0,-0.001068746741088763,2.8586654245480986e-05
2011-01-13,0.0,0.0,0.013,0.0,0.0,9.476274689228282e-06,0.002968770525712666
2011-01-14,0.0,0.0,0.0,0.0,0.0,0.0009417812589355555,0.002767372458359726
2011-01-15,0.0,0.0,0.0,0.0,0.0,-2.6676879012929797e-05,2.6676879012929797e-05
2011-01-16,0.0,0.0,0.0,0.0,0.0,0.031009833684708006,3.866187307656594e-05
2011-01-17,0.0,0.0,0.0,0.0,0.0,0.014404609544620512,0.006155282373247219
2011-01-18,0.0,0.0,0.767,0.0,0.0,0.29834922900738403,5.690626137938078e-05
2011-01-19,0.0,0.0,0.211,0.0,0.0,0.012818401222913531,3.74077345808882e-05
2011-01-20,0.0,0.0,0.01,0.0,0.0,-0.0016111790426053692,1.967419683227784e-05
2011-01-21,0.0,0.0,0.013,0.0,0.0,0.0002595054786514444,2.7931159972730257e-05
2011-01-22,0.0,0.0,0.024,0.0,0.0,-0.004327618844028554,5.166843248292232e-05
2011-01-23,0.0,0.0,0.103,0.0,0.0,0.011481432546222624,0.007711337302461538
2011-01-24,0.0,0.0,0.175,0.0,0.0,0.0021910953137653753,0.02998130460660379
2011-01-25,0.0,0.0,0.751,0.0,0.0,0.08098618757551801,0.5360326250471081
2011-01-26,0.0,0.0,0.339,0.0,0.0,0.018505199417188145,4.514619904647297e-05
2011-01-27,0.0,0.0,0.004,0.0,0.0,0.0005197992458649622,3.2314159642063453e-05
2011-01-28,0.0,0.0,0.0,0.0,0.0,-1.3735505049041074e-05,2.3062274847153433e-05
2011-01-29,0.0,0.0,0.0,0.0,0.0,-7.819382936651961e-05,2.517236997726782e-05
2011-01-30,0.0,0.0,0.0,0.0,0.0,-2.488226355280702e-05,2.545164612978744e-05
2011-01-31,0.0,0.0,0.0,0.0,0.0,0.0008768969961290593,3.6477078555166065e-05
2011-02-01,0.0,0.0,0.031,0.0,0.0,0.008098681282706416,2.913159846438146e-05
2011-02-02,0.0,0.0,0.006,0.0,0.0,0.013912853634687018,2.6074124569773145e-05
