,DDM_total_melt,Q_Total,Qobs,DDM_smb,Q_COSIPY,COSIPY_smb,COSIPY_melt
2011-01-01,0.0,0.0,0.0,0.01,0.0,0.002,0.017
2011-01-02,0.0,0.0,0.0,0.004,0.0,0.002,0.0
2011-01-03,0.0,0.0,0.0,0.0,0.0,-0.001,0.0
2011-01-04,0.0,0.0,0.0,0.033,0.0,-0.007,0.0
2011-01-05,0.0,0.0,0.0,0.205,0.0,0.011,0.0
2011-01-06,0.0,0.0,0.0,0.021,0.0,0.005,0.003
2011-01-07,0.0,0.0,0.0,0.0,0.0,0.001,0.0
2011-01-08,0.0,0.0,0.0,0.005,0.0,0.0,0.0
2011-01-09,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2011-01-10,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2011-01-11,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2011-01-12,0.0,0.0,0.0,0.0,0.0,-0.001,0.0
2011-01-13,0.0,0.0,0.0,0.014,0.0,0.0,0.003
2011-01-14,0.0,0.0,0.0,0.0,0.0,0.001,0.003
2011-01-15,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2011-01-16,0.0,0.0,0.0,0.0,0.0,0.031,0.0
2011-01-17,0.0,0.0,0.0,0.0,0.0,0.014,0.006
2011-01-18,0.0,0.0,0.0,0.757,0.0,0.298,0.0
2011-01-19,0.0,0.0,0.0,0.222,0.0,0.013,0.0
2011-01-20,0.0,0.0,0.0,0.01,0.0,-0.002,0.0
2011-01-21,0.0,0.0,0.0,0.013,0.0,0.0,0.0
2011-01-22,0.0,0.0,0.0,0.013,0.0,-0.004,0.0
2011-01-23,0.0,0.0,0.0,0.113,0.0,0.011,0.008
2011-01-24,0.0,0.0,0.0,0.169,0.0,0.002,0.03
2011-01-25,0.0,0.0,0.0,0.756,0.0,0.081,0.536
2011-01-26,0.0,0.0,0.0,0.336,0.0,0.019,0.0
2011-01-27,0.0,0.0,0.0,0.006,0.0,0.001,0.0
2011-01-28,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2011-01-29,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2011-01-30,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2011-01-31,0.0,0.0,0.0,0.0,0.0,0.001,0.0
2011-02-01,0.0,0.0,0.0,0.031,0.0,0.008,0.0
2011-02-02,0.0,0.0,0.0,0.006,0.0,0.014,0.0
2011-02-03,0.0,0.0,0.0,0.416,0.0,0.665,0.0
2011-02-04,0.0,0.0,0.0,1.194,0.0,0.821,0.005
2011-02-05,0.0,0.0,0.0,2.419,0.0,3.141,0.0
2011-02-06,0.0,0.0,0.0,2.001,0.0,1.042,0.003
2011-02-07,0.0,0.0,0.0,1.2,0.0,1.252,0.0
2011-02-08,0.0,0.0,0.0,4.09,0.0,3.573,0.0
2011-02-09,0.0,0.0,0.0,0.028,0.0,0.012,0.059
2011-02-10,0.0,0.0,0.0,1.164,0.0,0.626,0.0
2011-02-11,0.0,0.0,0.0,0.088,0.0,0.042,0.0
2011-02-12,0.0,0.0,0.0,0.0,0.0,-0.003,0.0
2011-02-13,0.0,0.0,0.0,0.257,0.0,0.141,0.0
2011-02-14,0.0,0.0,0.0,0.196,0.0,0.015,0.0
2011-02-15,0.0,0.0,0.0,0.117,0.0,0.06,0.0
2011-02-16,0.0,0.0,0.0,0.002,0.0,0.001,0.0
2011-02-17,0.0,0.0,0.0,0.003,0.0,0.003,0.0
2011-02-18,0.0,0.0,0.0,0.0,0.0,0.007,0.0
2011-02-19,0.0,0.0,0.0,0.0,0.0,-0.003,0.0
2011-02-20,0.0,0.0,0.0,0.623,0.0,1.14,0.0
2011-02-21,0.0,0.0,0.0,1.764,0.0,1.238,0.0
2011-02-22,0.0,0.0,0.0,0.039,0.0,0.007,0.0
2011-02-23,0.0,0.0,0.0,0.006,0.0,0.008,0.0
2011-02-24,0.0,0.0,0.0,2.866,0.0,2.737,0.0
2011-02-25,0.0,0.0,0.0,0.088,0.0,0.021,0.0
2011-02-26,0.0,0.0,0.0,0.041,0.0,0.042,0.0
2011-02-27,0.0,0.0,0.0,0.124,0.0,0.094,0.0
2011-02-28,0.0,0.0,0.0,0.105,0.0,0.091,0.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.005,0.0
2011-03-02,0.0,0.0,0.0,0.091,0.0,0.171,0.002
2011-03-03,0.0,0.0,0.0,1.279,0.0,0.961,0.0
2011-03-04,0.0,0.0,0.0,0.03,0.0,0.145,0.0
2011-03-05,0.0,0.0,0.0,0.574,0.0,0.471,0.042
2011-03-06,0.0,0.0,0.0,0.437,0.0,0.061,0.0
2011-03-07,0.0,0.0,0.0,0.048,0.0,0.092,0.0
2011-03-08,0.0,0.0,0.0,0.071,0.0,0.129,0.0
2011-03-09,0.0,0.0,0.0,0.258,0.0,0.167,0.01
2011-03-10,0.0,0.0,0.0,0.007,0.0,0.097,0.0
2011-03-11,0.0,0.0,0.0,0.012,0.0,0.109,0.006
