,T2,RRR,PE,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Q_HBV,DDM_smb,DDM_accumulation_rate,DDM_ice_melt_rate,DDM_snow_melt_rate,DDM_total_melt,Q_DDM,Qobs,Q_Total
2011-01-01,-20.382,0.01,0.0,54.24,165.44,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-02,-24.305,0.004,0.0,54.243,165.44,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-03,-24.159,0.0,0.0,54.243,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-04,-19.697,0.033,0.0,54.266,165.44,0.0,0.0,0.0,0.0,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-05,-20.761,0.205,0.0,54.409,165.44,0.0,0.0,0.0,0.0,0.205,0.205,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-06,-25.02,0.021,0.0,54.424,165.44,0.0,0.0,0.0,0.0,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-07,-23.873,0.0,0.0,54.424,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-08,-25.338,0.005,0.0,54.427,165.44,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-09,-25.535,0.0,0.0,54.427,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-10,-21.029,0.0,0.0,54.427,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-11,-19.686,0.0,0.0,54.427,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-12,-21.237,0.0,0.0,54.427,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-13,-21.638,0.014,0.0,54.437,165.44,0.0,0.0,0.0,0.0,0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-14,-20.388,0.0,0.0,54.437,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-15,-18.185,0.0,0.0,54.437,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-16,-17.705,0.0,0.0,54.437,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-17,-17.412,0.0,0.0,54.437,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-18,-17.71,0.757,0.0,54.967,165.44,0.0,0.0,0.0,0.0,0.757,0.757,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-19,-21.029,0.222,0.0,55.122,165.44,0.0,0.0,0.0,0.0,0.222,0.222,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-20,-23.085,0.01,0.0,55.13,165.44,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-21,-23.088,0.013,0.0,55.139,165.44,0.0,0.0,0.0,0.0,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-22,-20.001,0.013,0.0,55.148,165.44,0.0,0.0,0.0,0.0,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-23,-18.293,0.113,0.0,55.227,165.44,0.0,0.0,0.0,0.0,0.113,0.113,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-24,-18.955,0.169,0.0,55.345,165.44,0.0,0.0,0.0,0.0,0.169,0.169,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-25,-20.276,0.756,0.0,55.875,165.44,0.0,0.0,0.0,0.0,0.756,0.756,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-26,-22.77,0.336,0.0,56.11,165.44,0.0,0.0,0.0,0.0,0.336,0.336,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-27,-22.838,0.006,0.0,56.114,165.44,0.0,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-28,-20.441,0.0,0.0,56.114,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-29,-19.185,0.0,0.0,56.114,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-30,-18.107,0.0,0.0,56.114,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-31,-14.492,0.0,0.0,56.114,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,-14.192,0.031,0.0,56.136,165.44,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-02,-15.854,0.006,0.0,56.14,165.44,0.0,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-03,-10.776,0.416,0.0,56.431,165.44,0.0,0.0,0.0,0.0,0.416,0.416,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-04,-11.419,1.194,0.0,57.267,165.44,0.0,0.0,0.0,0.0,1.194,1.194,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-05,-11.688,2.419,0.0,58.96,165.44,0.0,0.0,0.0,0.0,2.419,2.419,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-06,-11.961,2.001,0.0,60.36,165.44,0.0,0.0,0.0,0.0,2.001,2.001,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-07,-13.216,1.2,0.0,61.2,165.44,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-08,-11.683,4.09,0.0,64.063,165.44,0.0,0.0,0.0,0.0,4.09,4.09,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-09,-15.446,0.028,0.0,64.083,165.44,0.0,0.0,0.0,0.0,0.028,0.028,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-10,-13.15,1.164,0.0,64.898,165.44,0.0,0.0,0.0,0.0,1.164,1.164,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-11,-16.148,0.088,0.0,64.959,165.44,0.0,0.0,0.0,0.0,0.088,0.088,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-12,-14.789,0.0,0.0,64.959,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-13,-12.626,0.257,0.0,65.139,165.44,0.0,0.0,0.0,0.0,0.257,0.257,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-14,-12.657,0.196,0.0,65.276,165.44,0.0,0.0,0.0,0.0,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-15,-16.398,0.117,0.0,65.358,165.44,0.0,0.0,0.0,0.0,0.117,0.117,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-16,-15.446,0.002,0.0,65.359,165.44,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-17,-14.753,0.003,0.0,65.361,165.44,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-18,-15.232,0.0,0.0,65.362,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-19,-14.886,0.0,0.0,65.362,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-20,-14.286,0.623,0.0,65.798,165.44,0.0,0.0,0.0,0.0,0.623,0.623,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-21,-14.523,1.764,0.0,67.033,165.44,0.0,0.0,0.0,0.0,1.764,1.764,0.0,0.0,0.0,0.0,0.0,0.0
