like1,parx,pary,parz,simulation_0,chain
inf,8.12,3.281,8.44,inf,1.0
inf,-8.234,3.365,-4.33,inf,1.0
inf,-5.402,4.51,6.89,inf,1.0
inf,-1.43,7.023,-2.629,inf,1.0
inf,-2.537,8.266,-8.61,inf,1.0
inf,-5.93,-7.027,4.08,inf,1.0
inf,9.12,5.74,0.4844,inf,1.0
9336.0,1.44,-2.139,-4.113,9336.0,1.0
inf,-6.3,1.688,8.37,inf,1.0
inf,-8.22,-0.8184,-4.945,inf,1.0
inf,-5.195,-2.197,-6.836,inf,1.0
inf,-5.418,8.76,-2.73,inf,1.0
inf,-3.262,-5.816,-6.652,inf,1.0
inf,8.16,7.164,4.184,inf,1.0
2336.0,-0.6245,1.628,7.32,2336.0,1.0
inf,6.957,-5.23,-8.41,inf,1.0
inf,2.664,6.176,0.5312,inf,1.0
65250.0,4.797,3.33,-5.188,65250.0,1.0
inf,-5.344,-3.479,8.02,inf,1.0
inf,8.83,-0.01605,-0.9556,inf,1.0
inf,4.902,-3.898,8.63,inf,1.0
inf,6.516,0.4983,-3.129,inf,1.0
inf,4.97,-1.933,-0.5967,inf,1.0
inf,8.21,-3.174,2.504,inf,1.0
inf,-3.521,-9.4,-6.95,inf,1.0
inf,-7.19,-6.902,-3.031,inf,1.0
inf,5.965,9.51,4.312,inf,1.0
inf,-5.03,-8.35,-9.64,inf,1.0
inf,8.74,-8.63,5.027,inf,1.0
inf,-8.71,-6.89,-2.73,inf,1.0
inf,6.69,-8.89,-8.15,inf,1.0
inf,9.83,4.605,6.84,inf,1.0
inf,-5.594,-5.42,-5.99,inf,1.0
inf,3.781,-5.582,9.68,inf,1.0
17760.0,-1.056,2.125,-8.77,17760.0,1.0
65100.0,1.317,-4.24,-6.836,65100.0,1.0
inf,4.562,9.84,9.87,inf,1.0
inf,2.754,6.586,-6.637,inf,1.0
inf,-7.79,9.71,-7.297,inf,1.0
inf,-7.31,9.53,9.86,inf,1.0
inf,5.555,6.742,5.77,inf,1.0
inf,7.547,7.125,9.6,inf,1.0
inf,2.459,-8.49,-9.14,inf,1.0
inf,8.24,5.957,4.242,inf,1.0
1741.0,1.588,2.352,9.7,1741.0,1.0
50500.0,2.922,5.19,4.72,50500.0,1.0
inf,-7.93,9.03,-3.04,inf,1.0
inf,9.125,2.547,-8.16,inf,1.0
17310.0,2.674,3.7,0.991,17310.0,1.0
inf,-3.6,5.586,2.893,inf,1.0
inf,1.237,8.31,7.555,inf,1.0
inf,-5.58,3.79,7.848,inf,1.0
41900.0,4.42,-0.884,1.487,41900.0,1.0
23940.0,-3.951,4.293,7.914,23940.0,1.0
inf,4.523,8.86,-9.15,inf,1.0
inf,-9.72,0.4333,-4.69,inf,1.0
793.0,1.927,1.039,0.1947,793.0,1.0
inf,-6.414,-5.92,-9.914,inf,1.0
3850.0,-2.059,3.465,5.86,3850.0,1.0
inf,4.094,-2.633,-9.984,inf,1.0
inf,-8.7,0.265,-0.529,inf,1.0
564.5,1.626,1.087,-0.613,564.5,1.0
inf,0.2534,9.52,-1.699,inf,1.0
inf,-4.945,7.684,8.24,inf,1.0
inf,9.18,-3.184,-2.795,inf,1.0
inf,0.9336,-9.09,-9.836,inf,1.0
inf,-1.495,5.984,-3.89,inf,1.0
inf,5.79,-7.586,7.418,inf,1.0
13550.0,0.2998,2.213,-6.547,13550.0,1.0
inf,-9.43,4.996,7.285,inf,1.0
16230.0,-1.8545,2.37,-7.08,16230.0,1.0
2186.0,-1.937,-0.908,1.035,2186.0,1.0
inf,8.91,4.9,1.368,inf,1.0
53950.0,0.7046,3.836,-8.266,53950.0,1.0
29040.0,-3.666,-3.094,5.5,29040.0,1.0
inf,4.086,6.637,-6.883,inf,1.0
inf,8.41,8.39,7.082,inf,1.0
16216.0,-2.928,-1.986,-3.15,16216.0,1.0
6516.0,3.102,1.7705,1.287,6516.0,1.0
inf,8.61,-4.22,-0.3054,inf,1.0
12770.0,-2.082,-2.193,-4.402,12770.0,1.0
inf,2.53,5.836,-0.6064,inf,1.0
14180.0,-2.1,-3.752,5.43,14180.0,1.0
inf,-9.44,8.43,7.66,inf,1.0
12510.0,3.59,2.072,7.156,12510.0,1.0
inf,-6.46,-6.95,-8.2,inf,1.0
9940.0,-2.348,-2.916,3.197,9940.0,1.0
40160.0,-2.62,-4.023,-0.627,40160.0,1.0
43100.0,4.266,-1.7,8.836,43100.0,1.0
inf,5.863,5.25,-1.574,inf,1.0
5416.0,-0.2145,2.2,-2.195,5416.0,1.0
inf,-5.465,3.35,-1.491,inf,1.0
inf,-8.62,7.027,-9.85,inf,1.0
inf,9.87,3.54,-9.52,inf,1.0
inf,6.277,-1.231,-5.38,inf,1.0
inf,-7.816,6.53,8.12,inf,1.0
inf,9.29,-1.277,5.582,inf,1.0
inf,-8.086,5.176,0.3896,inf,1.0
inf,-9.5,8.64,-6.996,inf,1.0
inf,6.27,7.4,-2.816,inf,1.0
inf,9.11,-3.879,3.053,inf,1.0
30300.0,4.297,1.156,-0.583,30300.0,1.0
inf,9.84,4.8,-9.97,inf,1.0
inf,3.729,-6.348,-7.848,inf,1.0
inf,-5.875,-7.848,7.203,inf,1.0
20850.0,-2.994,-1.447,-7.902,20850.0,1.0
41570.0,2.156,3.309,-9.4,41570.0,1.0
inf,1.074,-5.01,-9.28,inf,1.0
inf,7.51,0.5454,4.37,inf,1.0
1485.0,2.062,1.055,-1.035,1485.0,1.0
inf,9.58,4.145,5.67,inf,1.0
inf,6.152,-0.231,4.164,inf,1.0
inf,-2.455,-7.574,3.898,inf,1.0
inf,2.55,4.86,-9.34,inf,1.0
inf,6.28,1.465,-7.234,inf,1.0
inf,6.535,-8.125,-0.2537,inf,1.0
inf,7.543,-5.793,0.9,inf,1.0
inf,-9.51,-7.73,1.285,inf,1.0
inf,8.086,-4.94,-5.734,inf,1.0
inf,-6.168,3.709,0.703,inf,1.0
inf,5.566,-7.383,-2.123,inf,1.0
45860.0,-4.29,3.537,-2.879,45860.0,1.0
inf,3.094,-8.945,-8.28,inf,1.0
16260.0,-2.318,4.098,4.1,16260.0,1.0
9160.0,2.264,-3.305,6.41,9160.0,1.0
45340.0,2.35,4.293,-2.842,45340.0,1.0
inf,5.723,-1.185,-3.674,inf,1.0
inf,-0.509,-7.65,-2.357,inf,1.0
13580.0,3.088,-0.04044,6.633,13580.0,1.0
inf,7.18,-3.246,8.75,inf,1.0
inf,-9.48,-7.562,-1.089,inf,1.0
inf,-7.234,1.628,2.014,inf,1.0
inf,-5.37,2.537,-6.785,inf,1.0
inf,1.66,9.8,-3.883,inf,1.0
15770.0,-2.344,-1.504,-8.16,15770.0,1.0
12720.0,2.568,0.1953,-9.25,12720.0,1.0
inf,-3.652,-9.96,9.125,inf,1.0
inf,1.451,-5.984,3.889,inf,1.0
inf,6.01,9.63,-7.848,inf,1.0
inf,7.83,8.41,-6.098,inf,1.0
inf,-7.754,-8.72,8.336,inf,1.0
inf,9.13,-1.682,3.777,inf,1.0
inf,8.22,-4.105,7.383,inf,1.0
inf,1.348,8.82,1.217,inf,1.0
inf,-1.269,7.086,-3.648,inf,1.0
22300.0,-0.845,4.836,9.055,22300.0,1.0
inf,-9.055,5.234,4.03,inf,1.0
inf,-8.734,-4.242,4.652,inf,1.0
